,NITROGEN PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF NCA (Kg per ha),POTASH PER HA OF NCA (Kg per ha),avg_rain,RICE YIELD (Kg per ha)
3669,14.17,8.44,2.11,56.40833333,891.3
3670,11.49,7.26,2.2,56.875,586.96
3671,14.78,7.71,3.05,72.05,800
3672,19.94,14.98,3.74,96.21666667,735.29
3673,16.57,12.23,2.62,83.00833333,653.41
3674,19.16,11.82,2.28,98.33333333,972.6
3675,18.25,13.99,1.79,51.91666667,392.2
3676,14.76,13.59,1.09,61.16666667,797.89
3677,17.63,9.21,0.99,59.275,609.2
3678,15.39,7.07,1.55,45.86666667,260.52
3679,19.37,12.41,2.56,82.16666667,1028.38
3680,18.95,7.17,1.59,78.33333333,850.66
3681,19.42,18.33,2.73,60.83333333,650.69
3682,29.83,21.17,4.3,86.91666667,607.92
3683,32.54,21.09,5.37,67.58333333,835.49
3684,30.13,15.66,6.39,67.83333333,869.57
3685,30.32,30.47,5.37,65.58333333,808
3686,25.67,21.18,4.5,62.83333333,564.79
3687,13.6,9,2.93,68.5,403.65
3688,23.21,21.73,4.17,63.83333333,436.25
3689,28.81,21.44,7.42,83.58333333,561.59
3690,31.3,24.36,5.69,64.58333333,638.66
3691,27.32,24.51,6.65,66.50833333,624.27
3692,39.25,45.59,10.48,65,743.64
3693,36.77,38.36,14.03,51.28333333,765.87
3694,43.8,44.95,10.3,86.66666667,784.99
3695,52.57,60.5,12.72,59.83333333,687.21
3696,41.36,33.95,11.32,63.54166667,987.85
3697,42.79,17.15,5.61,82.4,1551.82
3698,50.86,41.39,11.85,53.59166667,966.02
3699,41.93,38.29,6.18,54.96666667,851.61
3701,4.2,1.27,0.02,36.11666667,1000
3702,5.35,1.3,0.14,44.76666667,2953.02
3703,4.9,1.75,0.31,45.4,3293.23
3704,7.26,3.01,1.01,55.66666667,2460.8
3705,6.12,2.12,0.98,38.68333333,2366.34
3706,8.78,3.91,3.63,34.29166667,2054.97
3707,9.08,4.01,1.92,55.86666667,2362.66
3708,10.19,4.28,2.67,69.18333333,1619.35
3709,12.05,3.61,2.92,114.5666667,2406.75
3710,14.29,3.78,2.52,41.49166667,2376.17
3711,20.85,5.63,4.83,59.01666667,2538.46
3712,26.42,8.18,6.89,74.125,2354.09
3713,25.22,9.44,7.33,57.925,1975.14
3714,23.23,8.91,6.08,41.84166667,3844.9
3715,24.13,10.13,7.53,69.66666667,3536.74
3716,22.11,8.85,7.56,64.18333333,1273.28
3717,32.19,12.85,9.94,66.45,1906.56
3718,36.2,14.99,9.74,42.99166667,2291.42
3719,37.07,17.43,10.11,46.73333333,2352.84
3720,35.34,16.36,9.53,52.09166667,3025.32
3721,27.26,15.23,9.89,69.975,2779.41
3722,59.16,22.7,12.76,58.93333333,2375.24
3723,45.91,26.49,9.77,43.09166667,2338.04
3724,53.66,27,15.43,53.5,2589.59
3725,65.56,33.39,17.39,51.83333333,2851.08
3726,60.15,28.35,10.53,55.83333333,2770.91
3727,66.38,29.47,10.88,63.76666667,2755.36
3728,77.4,27.28,14.15,39.90833333,2796.26
3729,80.12,33.26,17.79,48.41666667,3187.61
3730,73.31,27.63,12.78,61.08333333,2811.07
3731,89.89,43.66,22.08,32.58333333,2774.02
3732,89.15,41.7,19.01,69.75,3377.34
3733,110.08,57.75,35.03,41.08333333,3250.55
3734,108.64,52.55,31.11,52.91666667,3251.16
3735,106.78,49.43,30.96,50.83333333,3082.7
3736,88.38,37.21,22.37,48.33333333,3481.59
3737,75.55,33.74,22.26,41.66666667,3212.55
3738,93.22,45.86,28.72,47.75,3138.69
3739,103.85,58.36,39.07,68.91666667,2718.5
3740,102.39,56.45,33.26,46.91666667,3063.56
3741,119.7,53.66,53.33,58.98333333,3156.36
3742,131.58,73.73,45.95,35.25,3274.95
3743,141.61,78.63,58.49,98.21666667,2946.29
3744,171.75,118.01,52.3,54.5,3114.24
3745,191.59,131.52,53.65,29.75,3018.7
3746,151.81,59.24,31.05,34.325,3216.68
3747,145.41,64.94,34.58,63.09166667,3288.23
3748,174.65,81,49.88,54.29166667,3085.93
3749,144.04,76.94,34.76,47.35,3177.47
3752,0.36,0.25,0.15,57.34166667,1308.9
3753,0.78,0.19,0.02,59.23333333,2069.31
3754,0.88,0.15,0.12,67.025,1762.3
3755,1.41,0.32,0.26,40.81666667,1577.24
3756,1.08,0.2,0.04,26.975,1025
3757,1.29,0.37,0.35,71.36666667,2256.64
3758,1.72,0.55,0.37,64.74166667,1790
3759,0.83,0.25,0.15,106.1333333,914.53
3760,1.08,0.33,0.18,53.4,1129.5
3761,1.02,0.62,0.24,77.575,1174.5
3762,1.06,0.65,0.18,71.46666667,1430.77
3763,1.57,0.89,0.27,70.175,1729.51
3764,1.53,0.87,0.19,42.68333333,2267.72
3765,2.3,1.32,0.31,73.65833333,2390.98
3766,1.63,1.62,0.4,53.23333333,1635.04
3767,2.88,2.72,0.28,77.5,1751.52
3768,4.87,4.24,0.64,53.54166667,2188.57
3769,3.92,5.25,0.63,46.06666667,1433.16
3770,4.94,5.84,1.04,47.01666667,1388.89
3771,6.57,7.86,1.37,64.95,1714.29
3772,11.13,12.4,1.22,75.175,1748.54
3773,8.89,10.83,1.67,62.09166667,1533.71
3774,13.48,13.5,1.87,81.75,1442.1
3775,11.46,14.71,1.82,52.94166667,1229.58
3776,11.3,13.96,1.3,55,860.75
3777,8.26,6.57,1.06,53.40833333,1558.7
3778,9.95,8.99,1.89,46.175,1264.91
